,Actual,Predicted from Decision_tree,,,Predicted from random_forest,,,Predicted from Xgboost
202,152.37,150.0712903,,,152.3793205,,,152.3933235
203,173.53,173.8021429,,,167.3778439,,,172.9729553
204,151.06,144.8016386,,,150.5113347,,,151.0448435
205,158.48,173.8021429,,,157.1838597,,,158.5187941
206,211.05,213.60625,,,227.0182688,,,211.0748776
207,217.1,213.60625,,,228.0087345,,,217.0914212
208,137.12,144.8016386,,,146.981233,,,134.8600947
209,145.84,150.0712903,,,163.0654916,,,145.8976864
210,131.73,119.6268134,,,142.8448919,,,131.7277278
211,133.36,144.8016386,,,145.5968014,,,133.3867135
212,131.83,119.6268134,,,147.281456,,,131.7972074
213,113.44,136.1126136,,,123.7007449,,,113.3910638
214,171.29,173.8021429,,,167.7933721,,,171.3075582
215,166.87,173.8021429,,,169.9336302,,,166.9118414
216,145.86,150.0712903,,,151.7465715,,,151.6213925
217,129.43,144.8016386,,,146.6852671,,,134.9787379
218,145.98,144.8016386,,,150.4150358,,,145.8614365
219,113.94,120.1421429,,,122.2738606,,,117.3753179
220,166.97,173.8021429,,,160.2048012,,,166.9585403
221,94.68,120.1421429,,,117.8267883,,,94.80993648
222,110.69,136.1126136,,,124.5609759,,,112.0625158
223,127.98,136.1126136,,,124.3889854,,,117.8650098
224,143.19,136.1126136,,,131.5363893,,,143.2787666
225,178.05,173.8021429,,,159.4650956,,,177.9818556
226,102.62,112.1627273,,,112.3418239,,,102.5916334
227,74.05,71.19,,,82.57873476,,,74.03176582
228,59.67,68.83264046,,,75.06172036,,,59.6937113
229,63.36,71.19,,,81.54129663,,,63.34043355
230,89.38,251.1628571,,,138.8513399,,,125.9625292
231,148.18,144.8016386,,,174.9068019,,,148.2149567
232,161.69,173.8021429,,,164.5953094,,,161.6979598
233,180.01,173.8021429,,,166.8601245,,,180.0517103
234,169.44,173.8021429,,,162.8215787,,,169.4452215
235,162.05,150.0712903,,,151.8127238,,,162.0816178
236,175.58,187.48,,,157.9518979,,,175.5085793
237,159.72,150.0712903,,,152.0593748,,,159.8362799
238,175.21,173.8021429,,,165.5414079,,,175.1886977
239,185.79,173.8021429,,,170.5323922,,,185.7129637
240,79.25,87.86479064,,,93.68050816,,,91.82666353
241,56.19,68.83264046,,,57.40151137,,,66.87372663
242,86.7,68.83264046,,,74.37096358,,,86.71487398
243,125.17,136.1126136,,,120.7935005,,,125.9339003
244,116.08,136.1126136,,,127.5484411,,,106.2141088
245,139.1,136.1126136,,,132.6256156,,,139.0558114
246,162.04,150.0712903,,,151.9980768,,,162.0743408
247,134.69,119.6268134,,,146.6656646,,,134.7491885
248,134.18,136.1126136,,,135.9650471,,,134.2432106
249,132.96,136.1126136,,,134.746213,,,146.2754902
250,88.17,87.86479064,,,92.29389706,,,88.16443461
251,96.11,87.86479064,,,93.6360064,,,96.10308863
252,138.75,136.1126136,,,130.205864,,,154.0681006
253,136.57,136.1126136,,,135.2896277,,,136.5419855
254,118.12,136.1126136,,,127.5957279,,,118.1499903
255,137.69,120.1421429,,,125.4852037,,,143.5423814
256,143.93,120.1421429,,,130.1443655,,,144.2332414
257,156.56,150.0712903,,,149.8318313,,,156.5506043
258,144.3,136.1126136,,,127.1986738,,,153.9835414
259,123.68,136.1126136,,,119.9144319,,,123.7420843
260,142.22,136.1126136,,,124.8150619,,,142.1762918
261,206.62,196.83625,,,196.0421167,,,206.6046806
262,199.7,173.8021429,,,164.7821832,,,199.7106335
263,222.33,196.83625,,,197.8878884,,,222.3135389
264,112.63,120.1421429,,,120.8206693,,,143.3178394
265,71.69,87.86479064,,,92.08017438,,,71.73765572
266,148.99,136.1126136,,,133.1502504,,,147.6628417
267,172.24,117.3163443,,,135.795705,,,161.1928405
268,168.14,150.0712903,,,153.4505608,,,168.1532197
269,133.89,136.1126136,,,119.8143761,,,133.8568417
270,116.86,87.86479064,,,94.75411239,,,95.10102856
271,134.89,136.1126136,,,120.0506421,,,134.8852544
272,190.81,187.48,,,173.2878441,,,190.8594238
