,Actual,Predicted from Decision_tree,,,Predicted from random_forest,,,Predicted from Xgboost
418,6.1,13.10406456,,,13.72714997,,,6.888438647
419,10.79,13.10406456,,,18.05081851,,,12.28306553
420,17,13.10406456,,,19.16420569,,,17.14820342
421,62.18,45.1775,,,25.63197817,,,46.34146526
422,3.35,13.10406456,,,10.32844678,,,5.805375121
423,10.02,16.33526609,,,15.71611752,,,12.22095857
424,13.1,13.10406456,,,17.31272252,,,13.78507829
425,3.26,13.10406456,,,17.86465087,,,14.8396496
426,43.72922961,13.10406456,,,21.14990969,,,35.57490243
427,43.72922961,29.63179423,,,19.49286505,,,33.49201234
428,43.72922961,16.33526609,,,20.69004372,,,36.4676053
429,2.16,16.33526609,,,16.16234016,,,7.839726015
430,3.83,13.10406456,,,13.92181141,,,3.476531771
431,9,13.10406456,,,16.18260442,,,13.48772405
432,6.34,13.10406456,,,13.45524607,,,7.765351933
433,8.3,13.32769231,,,12.64545199,,,7.311283216
434,8.8,13.32769231,,,13.80330621,,,9.988323906
435,11.43,13.32769231,,,14.11818286,,,13.08313116
436,9.5,20.82560423,,,18.25334528,,,26.84089131
437,8.64,8.13375,,,14.4335535,,,9.390797326
438,6.66,16.33526609,,,12.6229091,,,7.226161446
439,6.07,16.33526609,,,13.72608126,,,12.07554612
440,6.31,29.63179423,,,13.18113266,,,8.726915564
441,8.33,16.33526609,,,12.84815933,,,9.57880542
442,43.72922961,20.82560423,,,25.66205259,,,36.12457298
443,43.72922961,29.63179423,,,23.82203621,,,39.93837424
444,43.72922961,29.63179423,,,23.91884524,,,36.03700865
445,43.72922961,29.63179423,,,23.01225156,,,35.44334381
446,43.72922961,16.33526609,,,24.05812131,,,40.85207423
447,43.72922961,29.63179423,,,23.89209012,,,38.21774871
448,9.84,13.10406456,,,16.84282087,,,12.33191265
449,11.8,29.63179423,,,17.79409999,,,16.66600872
450,12.23,13.10406456,,,15.84908632,,,11.45489617
451,12.61,13.10406456,,,15.99612626,,,14.88250295
452,12.75,13.10406456,,,16.15106985,,,15.1327123
453,10.84,13.10406456,,,15.90852604,,,13.67741439
454,10.43,16.33526609,,,16.16808783,,,17.89108487
455,12.9,13.10406456,,,16.16856526,,,14.8359148
456,12.63,29.63179423,,,18.88279184,,,16.85075487
457,11.49,13.10406456,,,14.23827883,,,13.1850504
458,14.72,13.10406456,,,17.93717507,,,19.40699439
459,19.79,13.10406456,,,19.8207791,,,19.47381669
460,18.07,13.10406456,,,20.93971189,,,15.6292572
461,25,13.10406456,,,24.74793555,,,31.71961371
462,44.46,30.1534611,,,26.76897111,,,38.52431188
463,53.24,35.27542495,,,34.87381211,,,47.29827471
464,13.09,13.10406456,,,16.92583975,,,12.94206223
465,12.52,19.00809524,,,19.34268433,,,14.34116854
466,21.49,19.00809524,,,20.60333214,,,20.82775098
467,25.81,30.1534611,,,20.1277393,,,20.80749347
468,37.33,13.10406456,,,20.62273609,,,23.48534779
469,10.65,13.10406456,,,14.47440972,,,12.69020746
470,11.34,13.10406456,,,15.03260422,,,11.82634488
471,12.26,13.10406456,,,16.78027088,,,15.79282821
472,10.2,13.10406456,,,18.09414209,,,14.7604562
473,13.34,13.10406456,,,19.46694939,,,20.79067028
474,14.09,13.10406456,,,17.38108873,,,14.7102752
475,21.15,13.10406456,,,19.47051655,,,21.09813516
476,16.81,13.10406456,,,19.48356631,,,21.72693711
477,18.73,13.10406456,,,20.59066667,,,19.9451512
478,26.77,13.10406456,,,22.57685927,,,26.6207046
479,24.26,58.73714286,,,31.61078269,,,40.11247857
480,11.27,14.909,,,24.44889828,,,16.18599142
481,11.81,13.10406456,,,15.78911614,,,21.90309468
482,15.58,13.10406456,,,18.93272458,,,18.32735829
483,14.33,19.00809524,,,21.34540066,,,16.96142595
484,43.72922961,44.77470443,,,45.94597152,,,44.27454954
485,17.5,19.00809524,,,27.51925581,,,23.15307477
486,25.65,29.02273206,,,28.62800345,,,28.75158967
487,25.05,29.02273206,,,28.14802483,,,24.4054953
488,20.57,19.00809524,,,23.39068132,,,20.55659786
489,29.45,29.02273206,,,22.93716062,,,17.78741215
490,56.26,58.73714286,,,42.87248056,,,56.07813595
491,24.65,13.10406456,,,24.63431427,,,32.33878158
492,17.14,19.00809524,,,23.11692095,,,18.52985525
493,25.5,29.02273206,,,27.94087417,,,29.55972115
494,43.72922961,29.02273206,,,31.0526339,,,39.27605538
495,43.75,29.02273206,,,31.49639857,,,37.84260513
496,62.3,35.27542495,,,40.53773747,,,45.27087953
497,71.66,44.32571429,,,57.48294626,,,72.00908481
498,50.39,45.1775,,,34.21250355,,,49.30189018
499,57.79,45.1775,,,34.82542272,,,54.67747164
500,46.86,35.27542495,,,35.55411704,,,45.09706871
